dia_utc,custo_fatura_usd,custo_calc_gpt4o_usd,custo_calc_mini_usd,gpt4o_chamadas,gpt4o_tokens_entrada,gpt4o_tokens_cache,gpt4o_tokens_saida,mini_chamadas,mini_tokens_entrada,emb_requisicoes,emb_tokens,inst_respostas,emp_respostas,inst_turnos_prog_completa,inst_turnos_gpt_padrao,inst_turnos_sem_ia,cv_ocr,talent_bank_atualizados,chunks_gravados,atividades_criadas,envios_disparo
2026-09-01,0.1793,0.1606,0.0176,12,51252,4992,3868,187,71754,5,303,17,389,,,,15,2,1,0,0
2026-09-02,1.7931,1.7754,0.0159,183,494921,39936,58799,161,63757,43,5480,41,338,,,,61,59,23,0,0
2026-09-03,0.0808,0.05,0.017,8,7709,0,3073,145,62250,2,206,0,311,,,,6,2,1,0,0
2026-09-04,0.2621,0.2483,0.0138,12,96260,6016,1519,117,52780,10,65,27,221,,,,2,5,0,0,0
2026-09-05,0.3927,0.3879,0.0048,15,147574,6016,2650,43,18067,11,103,24,65,,,,1,0,0,0,0
2026-09-06,0.3452,0.3199,0.0253,19,109429,1664,4839,207,89260,9,144,16,399,,,,9,5,0,0,0
2026-09-07,0.0496,0.0271,0.0224,4,4355,0,1625,186,80075,0,0,2,337,,,,4,8,0,0,0
2026-09-08,0.9504,0.9183,0.0277,38,365407,30080,4242,232,101403,39,846,61,449,,,,4,14,3,0,0
2026-09-09,1.5547,1.5243,0.0271,63,618217,82048,8133,220,106159,56,518,191,294,,,,1,5,0,0,0
2026-09-10,2.1808,2.1537,0.0258,86,849263,78208,12828,204,97006,74,1393,211,309,,,,6,2,3,0,0
2026-09-11,0.8537,0.81,0.0355,48,314430,34048,6650,293,126757,61,2717,77,487,,,,9,13,1,0,0
2026-09-12,0.3322,0.3163,0.0128,15,116089,7040,3491,104,46130,523,76126,17,159,2,4,3,5,6,513,0,0
2026-09-13,0.2174,0.1718,0.0151,9,62637,7040,2396,129,53801,5,39,6,229,1,4,1,4,8,0,0,0
2026-09-14,0.359,0.3242,0.0308,22,118805,21120,5355,262,112686,15,520,15,451,1,11,3,10,9,3,0,0
2026-09-15,0.4674,0.4328,0.0346,22,160482,14080,4921,295,141002,16,579,46,470,3,10,5,9,13,2,0,0
2026-09-16,1.8632,1.8246,0.037,130,600535,56576,39399,334,157403,42,1165,92,558,6,32,21,56,48,3,0,0
2026-09-17,7.9697,7.8615,0.1042,566,3019904,502528,93986,962,486444,422,11767,829,705,26,345,365,110,86,17,0,633
2026-09-18,2.523,2.4074,0.0624,143,890500,80512,28178,582,280555,79,1151,224,950,13,65,73,41,15,1,0,0
2026-09-19,1.5796,1.556,0.0233,68,599257,36224,10313,208,106975,49,515,101,284,6,51,31,11,4,0,0,0
2026-09-20,0.341,0.3335,0.0075,14,126823,0,1645,67,35605,12,105,42,55,1,11,29,2,2,0,0,0
2026-09-21,5.964,5.9225,0.0411,229,2475838,428160,26814,373,187414,203,2200,484,383,37,182,91,11,3,0,0,0
2026-09-22,4.6254,4.574,0.0489,184,1849218,200064,20100,446,217372,148,1796,415,733,26,137,91,14,17,3,42,0
2026-09-23,3.0067,2.9714,0.0286,212,1055195,111616,47293,256,126107,102,6276,271,669,13,76,85,86,100,32,409,0
